season_end_year,fbref_player_id,fbref_squad,player,minutes,file,column,value,kaggle_column
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Final_Third_Carries,3.0,carries final 3rd
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,PrgC_Carries,2.0,carries_prgc
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_possession,Succ_percent_Take,100.0,% Successful take-ons
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_shooting,G_per_SoT_Standard,0.0,Goals per shot on target
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_shooting,npxG_Expected,0.1,Exp NPG
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_shooting,xG_Expected,0.1,Expected Goals
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,PrgC_Progression,2.0,Progressive Carries
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,PrgP_Progression,15.0,Progressive Passes
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,npxG_Expected,0.1,Exp NPG
2021,75e60d75,Hellas Verona,Ronaldo Vieira,226,big5_player_standard,xG_Expected,0.1,Expected Goals
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Clr,10.0,Clearances
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Err,0.0,Errors made
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Pass_Blocks,0.0,Passes blocked
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Sh_Blocks,0.0,Shots blocked
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_defense,Tkl_Tackles,0.0,Tackles attempted
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_misc,Won_percent_Aerial,50.0,% Aerial Duels won
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Att_Take,0.0,Take ons attempted
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,CPA_Carries,0.0,carries penalty area
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Def Pen_Touches,402.0,touches_def_pen
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Dis_Carries,0.0,Possessions lost
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Final_Third_Carries,0.0,carries final 3rd
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,PrgC_Carries,0.0,carries_prgc
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_possession,Succ_percent_Take,0.0,% Successful take-ons
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_shooting,G_per_Sh_Standard,0.0,Goals per shot
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_shooting,G_per_SoT_Standard,0.0,Goals per shot on target
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_shooting,SoT_percent_Standard,0.0,% Shots on target
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_shooting,npxG_Expected,0.0,Exp NPG
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_shooting,xG_Expected,0.0,Expected Goals
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_standard,PrgC_Progression,0.0,Progressive Carries
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_standard,PrgP_Progression,0.0,Progressive Passes
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_standard,npxG_Expected,0.0,Exp NPG
2022,f5dfc256,Lille,Leonardo César Jardim,1530,big5_player_standard,xG_Expected,0.0,Expected Goals
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_defense,Clr,5.0,Clearances
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_defense,Err,1.0,Errors made
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_defense,Pass_Blocks,3.0,Passes blocked
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_defense,Sh_Blocks,2.0,Shots blocked
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_defense,Tkl_Tackles,10.0,Tackles attempted
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_misc,Won_percent_Aerial,25.0,% Aerial Duels won
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,Att_Take,4.0,Take ons attempted
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,CPA_Carries,1.0,carries penalty area
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,Def Pen_Touches,14.0,touches_def_pen
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,Dis_Carries,6.0,Possessions lost
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,Final_Third_Carries,6.0,carries final 3rd
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,PrgC_Carries,8.0,carries_prgc
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_possession,Succ_percent_Take,50.0,% Successful take-ons
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_shooting,G_per_SoT_Standard,0.0,Goals per shot on target
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_shooting,npxG_Expected,0.1,Exp NPG
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_shooting,xG_Expected,0.1,Expected Goals
